id,title,short_title,repository,program,nci_program,cancer_types,primary_sites,subjects,subject_scope,modalities,n_cases,n_samples,access_tier,has_followup,median_followup_months,has_treatment_response,n_verified_reuse,n_citations_to_primary_publication,reuse_gap_index,is_underexplored,is_showcase,review_status,landing_page_url
idc-breast-cancer-screening-dbt,Breast-Cancer-Screening-DBT,breast_cancer_screening_dbt,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer; Non-Cancer,Breast,BREAST,single,clinical; radiology,5060,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=breast_cancer_screening_dbt
gdc-ccdi-mci,Molecular Characterization Initiative (MCI),CCDI-MCI,GDC,CCDI,CCDI,"Cystic, Mucinous and Serous Neoplasms; Granular Cell Tumors and Alveolar Soft Part Sarcomas; Specialized Gonadal Neoplasms; Neoplasms, NOS; Adenomas and Adenocarcinomas; Gliomas; Meningiomas; Acinar Cell Neoplasms","Accessory sinuses; Adrenal gland; Base of tongue; Bladder; Bones, joints and articular cartilage of limbs; Bones, joints and articular cartilage of other and unspecified sites; Brain; Breast",,pan_cancer,methylation; radiology; wxs,4407,,mixed,False,,False,1,46,1.976,False,False,machine_only,https://portal.gdc.cancer.gov/projects/CCDI-MCI
cbio-breast-msk-2025,"Breast Cancer (MSK, Nat Genet 2025)",breast_msk_2025,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Invasive Breast Carcinoma,breast,BREAST,single,copy_number; structural_variant; targeted_dna,3116,3879,open,True,39.4,False,,28,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=breast_msk_2025
idc-victre,VICTRE,victre,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer,Breast,BREAST,single,radiology,2994,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=victre
idc-eay131,EAY131,eay131,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Adenocarcinoma; Adrenocortical Carcinoma; Anal Cancer; Anal Squamous Cell Carcinoma; Astrocytoma; Bladder Cancer; Brain Cancer; Breast Cancer,Various,,pan_cancer,clinical; radiology,2813,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=eay131
gdc-target-aml,Acute Myeloid Leukemia,TARGET-AML,GDC,TARGET,TARGET,Myeloid Leukemias; Not Applicable,Unknown; Hematopoietic and reticuloendothelial systems,MYELOID,single,clinical; copy_number; methylation; mirna; rna_seq; structural_variant; targeted_dna; wgs; wxs,2492,,mixed,True,41.7,True,280,695,-1.197,False,True,project_curated,https://portal.gdc.cancer.gov/projects/TARGET-AML
cbio-pdac-msk-2024,"Pancreatic Adenocarcinoma (MSK, Nat Med 2024)",pdac_msk_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Pancreas,tissue,PANCREAS,single,copy_number; structural_variant; targeted_dna,2336,2336,open,True,13.5,False,,93,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=pdac_msk_2024
cbio-luad-mskcc-2023-met-organotropism,"Lung Adenocarcinoma Met Organotropism (MSK, Cancer Cell 2023)",luad_mskcc_2023_met_organotropism,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Lung Adenocarcinoma,nsclc,LUNG,single,copy_number; structural_variant; targeted_dna,2298,2653,open,True,36.8,False,,96,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=luad_mskcc_2023_met_organotropism
cbio-prostate-msk-2024,"Prostate Cancer (MSK, Clin Cancer Res 2024)",prostate_msk_2024,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate,tissue,PROSTATE,single,copy_number; structural_variant; targeted_dna,2257,2260,open,True,42.2,False,,59,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prostate_msk_2024
cbio-sarcoma-mskcc-2022,"Sarcoma (MSK, Nat Commun. 2022)",sarcoma_mskcc_2022,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Soft Tissue,tissue,SOFT_TISSUE,single,copy_number; structural_variant; targeted_dna,2138,2138,open,True,22.5,False,,209,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=sarcoma_mskcc_2022
cbio-prad-msk-stopsack-2021,"Race Differences in Prostate Cancer (MSK, 2021)",prad_msk_stopsack_2021,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Prostate Adenocarcinoma,prostate,PROSTATE,single,copy_number; structural_variant; targeted_dna,2069,2069,open,,,False,,49,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=prad_msk_stopsack_2021
cbio-ucec-ancestry-cds-msk-2023,"Endometrial Cancer (MSK, Cancer Discovery 2023)",ucec_ancestry_cds_msk_2023,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Endometrial Carcinoma,uterus,UTERUS,single,copy_number; targeted_dna,1882,1882,open,,,False,,42,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ucec_ancestry_cds_msk_2023
gdc-cptac-3,"CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",CPTAC-3,GDC,CPTAC,CPTAC,"Not Applicable; Transitional Cell Papillomas and Carcinomas; Ductal and Lobular Neoplasms; Adenomas and Adenocarcinomas; Gliomas; Epithelial Neoplasms, NOS; Complex Epithelial Neoplasms; Complex Mixed and Stromal Neoplasms","Stomach; Other and ill-defined sites in lip, oral cavity and pharynx; Unknown; Colon; Other and unspecified urinary organs; Floor of mouth; Other and unspecified parts of mouth; Gum",,pan_cancer,copy_number; methylation; mirna; rna_seq; scrna_seq; structural_variant; targeted_dna; wgs; wxs,1866,,mixed,True,22.9,True,25,688,-1.448,False,True,project_curated,https://portal.gdc.cancer.gov/projects/CPTAC-3
idc-cmmd,CMMD,cmmd,IDC,NCI Imaging Data Commons / The Cancer Imaging Archive,IDC,Breast Cancer,Breast,BREAST,single,clinical; radiology,1775,,open,,,,,,,False,False,machine_only,https://portal.imaging.datacommons.cancer.gov/explore/?collection_id=cmmd
cbio-breast-msk-2018,"Breast Cancer (MSK, Cancer Cell 2018)",breast_msk_2018,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Breast,tissue,BREAST,single,copy_number; structural_variant; targeted_dna,1756,1918,open,True,40.5,False,,824,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=breast_msk_2018
cbio-ccle-broad-2019,"Cancer Cell Line Encyclopedia (Broad, 2019)",ccle_broad_2019,cBioPortal,Investigator-initiated cohort (harmonized in cBioPortal),,Mixed Cancer Types,other,,pan_cancer,copy_number; proteome; rna_seq; structural_variant; targeted_dna,1739,1739,open,,,False,,2834,,False,False,machine_only,https://www.cbioportal.org/study/summary?id=ccle_broad_2019
